section,key,type,offset,default,source_addr,yr_active,notes,field_class
$IMAGE,DoorStages,int,0xf00,0,line:668,yes,ctor 0045df2b — default DoorStages,config
$IMAGE,AnimIdle,int[3],0xf10,"{0,1,0}",line:783,yes,AnimIdle[3] triple — ctor 0045e374/7a/80,config
$IMAGE,AnimActive,int[3],0xf1c,"{0,1,0}",line:789,yes,AnimActive[3] triple — ctor 0045e386/8c/92,config
$IMAGE,AnimAux1,int[3],0xf34,"{0,1,0}",line:795,yes,AnimAux1[3] triple — ctor 0045e398/9e/a4,config
$IMAGE,AnimAux2,int[3],0xf40,"{0,1,0}",line:801,yes,AnimAux2[3] triple — ctor 0045e3aa/b0/b6,config
$IMAGE,ActiveAnim,char[16],0x1018,"" (empty),line:805,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimDamaged,char[16],0x1028,"" (empty),line:839,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimGarrisoned,char[16],0x1038,"" (empty),line:908,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimX,int,0x1048,0,line:1006,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimY,int,0x104c,0,line:1008,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimZAdjust,int,0x1050,0,line:1010,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimYSort,int,0x1054,0,line:1013,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimPowered,bool,0x1058,1 (true),line:1016,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
$IMAGE,ActiveAnimPoweredLight,bool,0x1059,0 (false),line:1019,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,ActiveAnimPoweredEffect,bool,0x105a,0 (false),line:1022,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,ActiveAnimPoweredSpecial,bool,0x105b,0 (false),line:1025,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,ActiveAnimTwo,char[16],0x105c,"" (empty),line:1030,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimTwoDamaged,char[16],0x106c,"" (empty),line:1064,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimTwoGarrisoned,char[16],0x107c,"" (empty),line:1133,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimTwoX,int,0x108c,0,line:1231,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimTwoY,int,0x1090,0,line:1233,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimTwoZAdjust,int,0x1094,0,line:1235,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimTwoYSort,int,0x1098,0,line:1238,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimTwoPowered,bool,0x109c,1 (true),line:1241,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
$IMAGE,ActiveAnimTwoPoweredLight,bool,0x109d,0 (false),line:1244,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,ActiveAnimTwoPoweredEffect,bool,0x109e,0 (false),line:1248,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,ActiveAnimTwoPoweredSpecial,bool,0x109f,0 (false),line:1252,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,ActiveAnimThree,char[16],0x10a0,"" (empty),line:1257,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimThreeDamaged,char[16],0x10b0,"" (empty),line:1291,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimThreeGarrisoned,char[16],0x10c0,"" (empty),line:1360,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimThreeX,int,0x10d0,0,line:1458,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimThreeY,int,0x10d4,0,line:1461,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimThreeZAdjust,int,0x10d8,0,line:1464,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimThreeYSort,int,0x10dc,0,line:1467,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimThreePowered,bool,0x10e0,1 (true),line:1470,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
$IMAGE,ActiveAnimThreePoweredLight,bool,0x10e1,0 (false),line:1473,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,ActiveAnimThreePoweredEffect,bool,0x10e2,0 (false),line:1477,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,ActiveAnimThreePoweredSpecial,bool,0x10e3,0 (false),line:1481,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,ActiveAnimFour,char[16],0x10e4,"" (empty),line:1486,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimFourDamaged,char[16],0x10f4,"" (empty),line:1520,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimFourGarrisoned,char[16],0x1104,"" (empty),line:1589,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ActiveAnimFourX,int,0x1114,0,line:1687,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimFourY,int,0x1118,0,line:1690,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimFourZAdjust,int,0x111c,0,line:1693,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimFourYSort,int,0x1120,0,line:1696,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ActiveAnimFourPowered,bool,0x1124,1 (true),line:1699,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
$IMAGE,ActiveAnimFourPoweredLight,bool,0x1125,0 (false),line:1702,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,ActiveAnimFourPoweredEffect,bool,0x1126,0 (false),line:1706,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,ActiveAnimFourPoweredSpecial,bool,0x1127,0 (false),line:1710,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,PreProductionAnim,char[16],0x1128,"" (empty),line:4420,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,PreProductionAnimDamaged,char[16],0x1138,"" (empty),line:4455,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,PreProductionAnimGarrisoned,char[16],0x1148,"" (empty),line:4524,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,PreProductionAnimX,int,0x1158,0,line:4621,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,PreProductionAnimY,int,0x115c,0,line:4624,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,PreProductionAnimZAdjust,int,0x1160,0,line:4627,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,PreProductionAnimYSort,int,0x1164,0,line:4630,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ProductionAnim,char[16],0x116c,"" (empty),line:3984,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ProductionAnimDamaged,char[16],0x117c,"" (empty),line:4018,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ProductionAnimGarrisoned,char[16],0x118c,"" (empty),line:4087,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,ProductionAnimX,int,0x119c,0,line:4185,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ProductionAnimY,int,0x11a0,0,line:4188,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ProductionAnimZAdjust,int,0x11a4,0,line:4191,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,ProductionAnimYSort,int,0x11a8,0,line:4194,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$SELF,TurretAnim,char[16],0x11b0,"" (empty),line:4635,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$SELF,TurretAnimDamaged,char[16],0x11c0,"" (empty),line:4669,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,TurretAnimGarrisoned,char[16],0x11d0,"" (empty),line:4736,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$SELF,TurretAnimX,int,0x11e0,0,line:4804,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$SELF,TurretAnimY,int,0x11e4,0,line:4806,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$SELF,TurretAnimZAdjust,int,0x11e8,0,line:4808,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$SELF,TurretAnimYSort,int,0x11ec,0,line:4811,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnim,char[16],0x11f4,"" (empty),line:2621,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimDamaged,char[16],0x1204,"" (empty),line:2655,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimGarrisoned,char[16],0x1214,"" (empty),line:2724,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimX,int,0x1224,0,line:2822,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimY,int,0x1228,0,line:2824,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimZAdjust,int,0x122c,0,line:2826,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimYSort,int,0x1230,0,line:2829,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimPowered,bool,0x1234,1 (true),line:2832,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
$IMAGE,SpecialAnimPoweredLight,bool,0x1235,0 (false),line:2835,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,SpecialAnimPoweredEffect,bool,0x1236,0 (false),line:2838,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,SpecialAnimPoweredSpecial,bool,0x1237,0 (false),line:2842,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,SpecialAnimTwo,char[16],0x1238,"" (empty),line:2847,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimTwoDamaged,char[16],0x1248,"" (empty),line:2881,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimTwoGarrisoned,char[16],0x1258,"" (empty),line:2950,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimTwoX,int,0x1268,0,line:3048,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimTwoY,int,0x126c,0,line:3051,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimTwoZAdjust,int,0x1270,0,line:3054,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimTwoYSort,int,0x1274,0,line:3057,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimTwoPowered,bool,0x1278,1 (true),line:3060,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
$IMAGE,SpecialAnimTwoPoweredLight,bool,0x1279,0 (false),line:3063,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,SpecialAnimTwoPoweredEffect,bool,0x127a,0 (false),line:3067,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,SpecialAnimTwoPoweredSpecial,bool,0x127b,0 (false),line:3071,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,SpecialAnimThree,char[16],0x127c,"" (empty),line:3076,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimThreeDamaged,char[16],0x128c,"" (empty),line:3111,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimThreeGarrisoned,char[16],0x129c,"" (empty),line:3180,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimThreeX,int,0x12ac,0,line:3278,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimThreeY,int,0x12b0,0,line:3281,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimThreeZAdjust,int,0x12b4,0,line:3284,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimThreeYSort,int,0x12b8,0,line:3287,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimThreePowered,bool,0x12bc,1 (true),line:3290,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
$IMAGE,SpecialAnimThreePoweredLight,bool,0x12bd,0 (false),line:3293,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,SpecialAnimThreePoweredEffect,bool,0x12be,0 (false),line:3297,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,SpecialAnimThreePoweredSpecial,bool,0x12bf,0 (false),line:3301,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,SpecialAnimFour,char[16],0x12c0,"" (empty),line:3306,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimFourDamaged,char[16],0x12d0,"" (empty),line:3340,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimFourGarrisoned,char[16],0x12e0,"" (empty),line:3409,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SpecialAnimFourX,int,0x12f0,0,line:3507,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimFourY,int,0x12f4,0,line:3510,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimFourZAdjust,int,0x12f8,0,line:3513,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimFourYSort,int,0x12fc,0,line:3516,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SpecialAnimFourPowered,bool,0x1300,1 (true),line:3519,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
$IMAGE,SpecialAnimFourPoweredLight,bool,0x1301,0 (false),line:3522,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,SpecialAnimFourPoweredEffect,bool,0x1302,0 (false),line:3526,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,SpecialAnimFourPoweredSpecial,bool,0x1303,0 (false),line:3530,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,SuperAnim,char[16],0x1304,"" (empty),line:1715,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimDamaged,char[16],0x1314,"" (empty),line:1749,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimGarrisoned,char[16],0x1324,"" (empty),line:1818,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimX,int,0x1334,0,line:1916,yes,load=0x1114 store=0x1334 (binary reads default from wrong offset); PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimY,int,0x1338,0,line:1918,yes,load=0x1118 store=0x1338 (binary reads default from wrong offset); PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimZAdjust,int,0x133c,0,line:1920,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimYSort,int,0x1340,0,line:1923,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimPowered,bool,0x1344,1 (true),line:1925,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
$IMAGE,SuperAnimPoweredLight,bool,0x1345,0 (false),line:1928,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,SuperAnimPoweredEffect,bool,0x1346,0 (false),line:1931,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,SuperAnimPoweredSpecial,bool,0x1347,0 (false),line:1934,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,SuperAnimTwo,char[16],0x1348,"" (empty),line:1938,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimTwoDamaged,char[16],0x1358,"" (empty),line:1972,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimTwoGarrisoned,char[16],0x1368,"" (empty),line:2041,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimTwoX,int,0x1378,0,line:2139,yes,load=0x108c store=0x1378 (binary reads default from wrong offset); PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimTwoY,int,0x137c,0,line:2141,yes,load=0x1090 store=0x137c (binary reads default from wrong offset); PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimTwoZAdjust,int,0x1380,0,line:2143,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimTwoYSort,int,0x1384,0,line:2146,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimTwoPowered,bool,0x1389,0 (false),line:2149,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,SuperAnimTwoPoweredLight,bool,0x1389,0 (false),line:2152,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,SuperAnimTwoPoweredEffect,bool,0x138a,0 (false),line:2156,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,SuperAnimTwoPoweredSpecial,bool,0x138b,0 (false),line:2160,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,SuperAnimThree,char[16],0x138c,"" (empty),line:2165,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimThreeDamaged,char[16],0x139c,"" (empty),line:2199,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimThreeGarrisoned,char[16],0x13ac,"" (empty),line:2268,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimThreeX,int,0x13bc,0,line:2366,yes,load=0x10d0 store=0x13bc (binary reads default from wrong offset); PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimThreeY,int,0x13c0,0,line:2369,yes,load=0x10d4 store=0x13c0 (binary reads default from wrong offset); PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimThreeZAdjust,int,0x13c4,0,line:2372,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimThreeYSort,int,0x13c8,0,line:2375,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimThreePowered,bool,0x13cc,1 (true),line:2378,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
$IMAGE,SuperAnimThreePoweredLight,bool,0x13cd,0 (false),line:2381,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,SuperAnimThreePoweredEffect,bool,0x13ce,0 (false),line:2385,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,SuperAnimThreePoweredSpecial,bool,0x13cf,0 (false),line:2389,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,SuperAnimFour,char[16],0x13d0,"" (empty),line:2394,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimFourDamaged,char[16],0x13e0,"" (empty),line:2428,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimFourGarrisoned,char[16],0x13f0,"" (empty),line:2497,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,SuperAnimFourX,int,0x1400,0,line:2595,yes,load=0x10d0 store=0x1400 (binary reads default from wrong offset); PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimFourY,int,0x1404,0,line:2597,yes,load=0x10d4 store=0x1404 (binary reads default from wrong offset); PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimFourZAdjust,int,0x1408,0,line:2599,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimFourYSort,int,0x140c,0,line:2602,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,SuperAnimFourPowered,bool,0x1410,1 (true),line:2605,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
$IMAGE,SuperAnimFourPoweredLight,bool,0x1411,0 (false),line:2608,yes,PowerUp loop entry bool @ entry+0x41 — zeroed,config
$IMAGE,SuperAnimFourPoweredEffect,bool,0x1412,0 (false),line:2612,yes,PowerUp loop entry bool @ entry+0x42 — zeroed,config
$IMAGE,SuperAnimFourPoweredSpecial,bool,0x1413,0 (false),line:2616,yes,PowerUp loop entry bool @ entry+0x43 — zeroed,config
$IMAGE,IdleAnim,char[16],0x1414,"" (empty),line:4198,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,IdleAnimDamaged,char[16],0x1424,"" (empty),line:4232,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,IdleAnimGarrisoned,char[16],0x1434,"" (empty),line:4300,yes,PowerUp loop entry — name fields memset to 0 by loop at 0045e3be,config
$IMAGE,IdleAnimX,int,0x1444,0,line:4398,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,IdleAnimY,int,0x1448,0,line:4400,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,IdleAnimZAdjust,int,0x144c,0,line:4402,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,IdleAnimYSort,int,0x1450,0,line:4405,yes,PowerUp loop entry int field — zeroed by loop at 0045e3be,config
$IMAGE,IdleAnimPowered,bool,0x1454,1 (true),line:4407,yes,PowerUp loop entry Powered flag — default true via [base+0x40]=1,config
